category,cut,entries,pilots,events,exact_lists,wins,losses,draws,decision_win_pct,wilson95_low_pct,wilson95_high_pct
all_exact_archetype,all_publications,12,11,11,12,48,16,0,75.0,63.2,84.0
all_exact_archetype,standings_backed_only,6,5,5,6,18,16,0,52.9,36.7,68.5
all_exact_archetype,mtgo_challenge_only,5,4,4,5,18,14,0,56.2,39.3,71.8
personal_tutor_main,all_publications,5,5,5,5,22,5,0,81.5,63.3,91.8
personal_tutor_main,standings_backed_only,2,2,2,2,7,5,0,58.3,32.0,80.7
personal_tutor_main,mtgo_challenge_only,2,2,2,2,7,5,0,58.3,32.0,80.7
wasteland_main,all_publications,3,2,3,3,7,9,0,43.8,23.1,66.8
wasteland_main,standings_backed_only,3,2,3,3,7,9,0,43.8,23.1,66.8
wasteland_main,mtgo_challenge_only,2,1,2,2,7,7,0,50.0,26.8,73.2
tamiyo_main,all_publications,8,7,8,8,30,13,0,69.8,54.9,81.4
tamiyo_main,standings_backed_only,5,4,5,5,15,13,0,53.6,35.8,70.5
tamiyo_main,mtgo_challenge_only,4,3,4,4,15,11,0,57.7,38.9,74.5
bilbo_main,all_publications,4,4,4,4,17,6,0,73.9,53.5,87.5
bilbo_main,standings_backed_only,2,2,2,2,7,6,0,53.8,29.1,76.8
bilbo_main,mtgo_challenge_only,2,2,2,2,7,6,0,53.8,29.1,76.8
teferi_main,all_publications,4,4,4,4,19,2,0,90.5,71.1,97.3
teferi_main,standings_backed_only,1,1,1,1,4,2,0,66.7,30.0,90.3
teferi_main,mtgo_challenge_only,1,1,1,1,4,2,0,66.7,30.0,90.3
murktide_main,all_publications,2,2,2,2,4,5,0,44.4,18.9,73.3
murktide_main,standings_backed_only,2,2,2,2,4,5,0,44.4,18.9,73.3
murktide_main,mtgo_challenge_only,1,1,1,1,4,3,0,57.1,25.0,84.2
squelcher_main,all_publications,0,0,0,0,0,0,0,,,
squelcher_main,standings_backed_only,0,0,0,0,0,0,0,,,
squelcher_main,mtgo_challenge_only,0,0,0,0,0,0,0,,,
A_focused_combo,all_publications,0,0,0,0,0,0,0,,,
A_focused_combo,standings_backed_only,0,0,0,0,0,0,0,,,
A_focused_combo,mtgo_challenge_only,0,0,0,0,0,0,0,,,
B_sideboard_led,all_publications,5,5,5,5,22,5,0,81.5,63.3,91.8
B_sideboard_led,standings_backed_only,2,2,2,2,7,5,0,58.3,32.0,80.7
B_sideboard_led,mtgo_challenge_only,2,2,2,2,7,5,0,58.3,32.0,80.7
C_value_combo,all_publications,4,4,4,4,19,2,0,90.5,71.1,97.3
C_value_combo,standings_backed_only,1,1,1,1,4,2,0,66.7,30.0,90.3
C_value_combo,mtgo_challenge_only,1,1,1,1,4,2,0,66.7,30.0,90.3
D_deep_denial,all_publications,3,2,3,3,7,9,0,43.8,23.1,66.8
D_deep_denial,standings_backed_only,3,2,3,3,7,9,0,43.8,23.1,66.8
D_deep_denial,mtgo_challenge_only,2,1,2,2,7,7,0,50.0,26.8,73.2
