date,tournament_id,event,source,deck_idx,pilot,published_result,rank,evidence_channel,wins,losses,draws,exact_hash,lands,acceleration,selection,main_value,wasteland,side_fair,side_alt,baseline_class,personal_tutor_main,wasteland_main,tamiyo_main,bilbo_main,teferi_main,murktide_main,squelcher_main
2026-08-10,https://www.mtgo.com/decklist/legacy-league-2026-08-1010831,Legacy League,MTGO,11,SmokyboyJFF,5-0,,league_publication,5,0,0,5497edf8751257981734b7b4ca5e2b4d06b32ec0d38cf3cfaea56bbe0b2c4809,16,8,5,0,0,6,0,B_sideboard_led,1,0,0,0,0,0,0
2026-08-11,https://www.mtgo.com/decklist/legacy-league-2026-08-1110831,Legacy League,MTGO,4,Enrichetta,5-0,,league_publication,5,0,0,cae8e2467158dba205919efef30cf052ae2d468aa899b554f00dcdd20d842091,17,8,6,0,0,11,0,B_sideboard_led,1,0,0,0,0,0,0
2026-08-11,https://www.mtgo.com/decklist/legacy-league-2026-08-1110967,Legacy League,MTGO,0,thescuba96,5-0,,league_publication,5,0,0,7e6b984d3b82ace9544c01413a18ad6825ce63a002cf6613f853900307963353,17,7,3,8,0,8,0,C_value_combo,0,0,1,1,1,0,0
2026-08-12,https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1212851626,Legacy Challenge 32,MTGO,6,HJ_Kaiser,7th Place,7,standings_backed,4,3,0,a3b4be9ef98542aa8d317ce3e3d9d7bdf4388d402d0a3d349dedf857240e26b8,19,7,4,6,3,6,0,D_deep_denial,0,1,1,0,0,1,0
2026-08-12,https://www.mtgo.com/decklist/legacy-league-2026-08-1210967,Legacy League,MTGO,3,Battlegrounds,5-0,,league_publication,5,0,0,e0237b790a3c7579331903611147df3f32892afcf1b1bce3cf7a9c090fdf7620,17,7,3,10,0,8,0,C_value_combo,0,0,1,1,1,0,0
2026-08-13,https://melee.gg/Tournament/View/445561,Mont Weekly Legacy,MTGmelee,14,Ney Costa Lima,16th Place,16,standings_backed,0,2,0,a92f09d9a909ec78a468af9864794597ef6210f6d29fad2f0ee779a64d6e8817,19,7,4,4,3,5,0,D_deep_denial,0,1,1,0,0,1,0
2026-08-14,https://www.mtgo.com/decklist/legacy-league-2026-08-1410967,Legacy League,MTGO,9,wakame,5-0,,league_publication,5,0,0,4109763e425cb4db5cf2b41cc1e2b9214aa56573b393cf3ab1930fb5a71480fe,17,9,0,7,0,0,0,C_value_combo,0,0,1,0,1,0,0
2026-08-15,https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1512851657,Legacy Challenge 32,MTGO,13,rgbandre,14th Place,14,standings_backed,4,2,0,f9e5ee05fd7ac7b45c6daa08ba0f92ba07d127e7ebf57a170e74df78d726a66b,17,8,3,7,0,8,0,C_value_combo,0,0,1,1,1,0,0
2026-08-15,https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1512851657,Legacy Challenge 32,MTGO,16,wizardpasta,17th Place,17,standings_backed,3,3,0,dbd444ab43279a87d82d58fc1eef244f5451116451797c017a5057d7bf4b0f98,17,8,5,0,0,5,0,B_sideboard_led,1,0,0,0,0,0,0
2026-08-16,https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1612851673,Legacy Challenge 32,MTGO,9,2plus2isfive,10th Place,10,standings_backed,4,2,0,02eb0b378efbd7861e7be9e9b5aac61e34e83fc842af627bf061ba48262d62ab,17,8,6,2,0,7,0,B_sideboard_led,1,0,1,0,0,0,0
2026-08-16,https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1612851679,Legacy Challenge 32,MTGO,31,HJ_Kaiser,32th Place,32,standings_backed,3,4,0,9c90fda162da3154483f8af06a48a5b1cdca289d6c66be6f14e9ada68dda3943,19,7,4,6,3,8,0,D_deep_denial,0,1,1,1,0,0,0
2026-08-18,https://www.mtgo.com/decklist/legacy-league-2026-08-1810967,Legacy League,MTGO,0,clan,5-0,,league_publication,5,0,0,741cdc2621fa62afe612e6882737270a6cf2b27755b278d152ef44a35c92deff,16,8,5,0,0,6,0,B_sideboard_led,1,0,0,0,0,0,0
