window,start,end,class,channel,entries,pilots,events,exact_lists,wins,losses,draws,decision_win_pct,wilson95_low_pct,wilson95_high_pct
earlier_2026,2026-01-01,2026-06-30,all,all_entries,410,135,264,275,1602,656,11,70.9,69.0,72.8
earlier_2026,2026-01-01,2026-06-30,all,all_entries_duplicate_collapsed,375,135,241,275,1470,569,11,72.1,70.1,74.0
earlier_2026,2026-01-01,2026-06-30,all,league_publications,139,61,88,118,695,0,0,100.0,99.5,100.0
earlier_2026,2026-01-01,2026-06-30,all,standings_backed,271,106,176,183,907,656,11,58.0,55.6,60.5
earlier_2026,2026-01-01,2026-06-30,all,standings_backed_duplicate_collapsed,236,106,153,183,775,569,11,57.7,55.0,60.3
earlier_2026,2026-01-01,2026-06-30,A_focused_combo,all_entries,53,23,47,41,206,86,1,70.5,65.1,75.5
earlier_2026,2026-01-01,2026-06-30,A_focused_combo,all_entries_duplicate_collapsed,52,23,46,41,198,85,1,70.0,64.4,75.0
earlier_2026,2026-01-01,2026-06-30,A_focused_combo,league_publications,21,8,18,19,105,0,0,100.0,96.5,100.0
earlier_2026,2026-01-01,2026-06-30,A_focused_combo,standings_backed,32,19,29,24,101,86,1,54.0,46.9,61.0
earlier_2026,2026-01-01,2026-06-30,A_focused_combo,standings_backed_duplicate_collapsed,31,19,28,24,93,85,1,52.2,44.9,59.5
earlier_2026,2026-01-01,2026-06-30,B_sideboard_led,all_entries,209,85,165,145,824,336,6,71.0,68.4,73.6
earlier_2026,2026-01-01,2026-06-30,B_sideboard_led,all_entries_duplicate_collapsed,186,85,148,145,738,278,6,72.6,69.8,75.3
earlier_2026,2026-01-01,2026-06-30,B_sideboard_led,league_publications,66,38,51,58,330,0,0,100.0,98.8,100.0
earlier_2026,2026-01-01,2026-06-30,B_sideboard_led,standings_backed,143,62,114,99,494,336,6,59.5,56.1,62.8
earlier_2026,2026-01-01,2026-06-30,B_sideboard_led,standings_backed_duplicate_collapsed,120,62,97,99,408,278,6,59.5,55.8,63.1
earlier_2026,2026-01-01,2026-06-30,C_value_combo,all_entries,44,28,42,29,167,60,2,73.6,67.5,78.9
earlier_2026,2026-01-01,2026-06-30,C_value_combo,all_entries_duplicate_collapsed,40,28,38,29,157,51,2,75.5,69.2,80.8
earlier_2026,2026-01-01,2026-06-30,C_value_combo,league_publications,20,16,18,15,100,0,0,100.0,96.3,100.0
earlier_2026,2026-01-01,2026-06-30,C_value_combo,standings_backed,24,18,24,18,67,60,2,52.8,44.1,61.2
earlier_2026,2026-01-01,2026-06-30,C_value_combo,standings_backed_duplicate_collapsed,20,18,20,18,57,51,2,52.8,43.4,61.9
earlier_2026,2026-01-01,2026-06-30,D_deep_denial,all_entries,104,51,93,60,405,174,2,69.9,66.1,73.5
earlier_2026,2026-01-01,2026-06-30,D_deep_denial,all_entries_duplicate_collapsed,97,51,86,60,377,155,2,70.9,66.9,74.6
