candidate_id,evidence_posture,exact_hash,matching_entries_all_time,duplicate_collapsed_entries,matching_entries_2026,matching_pilots,matching_events,first_seen,last_seen,league_publications,standings_backed_entries,standings_wins,standings_losses,dedup_standings_wins,dedup_standings_losses,nearest_card_count_distance,nearest_rows
bug-veil-carpet-reconstructed,inferred-reconstruction,2eab3e5ee88ebcbdcdc4e1a8fdf8c2901cfb6b5a11636543b20429e2854d1906,0,0,0,0,0,,,0,0,0,0,0,0,12,2026-07-13::wakame::https://www.mtgo.com/decklist/legacy-league-2026-07-1310831::14
chancellor-annex-protection,observed-historical; concentrated pilot lineage,fbe82f8aef61e41f24eaab6a5efdeea90601e6102a46d65dc29078c699b2d600,1,1,1,1,1,2026-06-27,2026-06-27,0,1,3,3,3,3,0,2026-06-27::ragavanejoyer::https://www.mtgo.com/decklist/legacy-challenge-32-2026-06-2712845663::24
cori-steel-cutter-barrowgoyf,inferred-reconstruction; Fantasticar-era source,87ae6ffe0cd33245234249c1575440337948694d9f2175f9d7cd9f9b0365b50f,0,0,0,0,0,,,0,0,0,0,0,0,6,2026-07-13::Ryan Kelly::https://melee.gg/Tournament/View/444351::9 | 2026-07-14::Eureka22422::https://www.mtgo.com/decklist/legacy-league-2026-07-1410831::1 | 2026-07-17::Eureka22422::https://www.mtgo.com/decklist/legacy-league-2026-07-1710831::4 | 2026-07-21::TentacleFan::https://www.mtgo.com/decklist/legacy-last-chance-2026-07-2112847728::25
current-dimir-creature-transform,exact-registration,02eb0b378efbd7861e7be9e9b5aac61e34e83fc842af627bf061ba48262d62ab,1,1,1,1,1,2026-08-16,2026-08-16,0,1,4,2,4,2,0,2026-08-16::2plus2isfive::https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1612851673::9
current-esper-teferi-swords,exact-registration,e0237b790a3c7579331903611147df3f32892afcf1b1bce3cf7a9c090fdf7620,1,1,1,1,1,2026-08-12,2026-08-12,1,0,0,0,0,0,0,2026-08-12::Battlegrounds::https://www.mtgo.com/decklist/legacy-league-2026-08-1210967::3
current-four-color-shield,exact-registration,4109763e425cb4db5cf2b41cc1e2b9214aa56573b393cf3ab1930fb5a71480fe,1,1,1,1,1,2026-08-14,2026-08-14,1,0,0,0,0,0,0,2026-08-14::wakame::https://www.mtgo.com/decklist/legacy-league-2026-08-1410967::9
current-light-green-white,exact-registration,dbd444ab43279a87d82d58fc1eef244f5451116451797c017a5057d7bf4b0f98,1,1,1,1,1,2026-08-15,2026-08-15,0,1,3,3,3,3,0,2026-08-15::wizardpasta::https://www.mtgo.com/decklist/legacy-challenge-32-2026-08-1512851657::16
emrakul-shelldock-isle,observed-historical; legal-at-cutoff (not observed-current),9b675ea4b0519c5c1a3b004ffa861c2edb3fdbc83a66db6b192664c559ccd006,1,1,1,1,1,2026-05-12,2026-05-12,1,0,0,0,0,0,0,2026-05-12::Bejamel::https://www.mtgo.com/decklist/legacy-league-2026-05-1210612::18
grixis-squelcher-refresh,observed-historical; legal-at-cutoff (not observed-current),b950ff11c75cea553a57c14c22fdf4fc5edff5c74ff0d0923a1e7b82882cecba,2,2,2,1,2,2026-05-29,2026-05-31,1,1,7,1,7,1,0,2026-05-29::nevilshute::https://www.mtgo.com/decklist/legacy-league-2026-05-2910612::17 | 2026-05-31::nevilshute::https://www.mtgo.com/decklist/legacy-challenge-32-2026-05-3112843423::2
moonshadow-creature-switch,inferred-reconstruction; Fantasticar-era source,7bbd7c3640e16236fa73fd231d07b99efb66b4d18718209af5b503c95f0eedd0,0,0,0,0,0,,,0,0,0,0,0,0,8,2026-06-29::Lans_NL::https://www.mtgo.com/decklist/legacy-league-2026-06-2910831::2
