threshold,class,evidence_cut,entries,pilots,events,exact_lists,wins,losses,draws,decision_win_pct,wilson95_low_pct,wilson95_high_pct
baseline,A_focused_combo,all,0,0,0,0,0,0,0,,,
baseline,A_focused_combo,standings_backed,0,0,0,0,0,0,0,,,
baseline,B_sideboard_led,all,5,5,5,5,22,5,0,81.5,63.3,91.8
baseline,B_sideboard_led,standings_backed,2,2,2,2,7,5,0,58.3,32.0,80.7
baseline,C_value_combo,all,4,4,4,4,19,2,0,90.5,71.1,97.3
baseline,C_value_combo,standings_backed,1,1,1,1,4,2,0,66.7,30.0,90.3
baseline,D_deep_denial,all,3,2,3,3,7,9,0,43.8,23.1,66.8
baseline,D_deep_denial,standings_backed,3,2,3,3,7,9,0,43.8,23.1,66.8
deep_requires_6,A_focused_combo,all,0,0,0,0,0,0,0,,,
deep_requires_6,A_focused_combo,standings_backed,0,0,0,0,0,0,0,,,
deep_requires_6,B_sideboard_led,all,6,6,6,6,22,7,0,75.9,57.9,87.8
deep_requires_6,B_sideboard_led,standings_backed,3,3,3,3,7,7,0,50.0,26.8,73.2
deep_requires_6,C_value_combo,all,4,4,4,4,19,2,0,90.5,71.1,97.3
deep_requires_6,C_value_combo,standings_backed,1,1,1,1,4,2,0,66.7,30.0,90.3
deep_requires_6,D_deep_denial,all,2,1,2,2,7,7,0,50.0,26.8,73.2
deep_requires_6,D_deep_denial,standings_backed,2,1,2,2,7,7,0,50.0,26.8,73.2
side_requires_6,A_focused_combo,all,1,1,1,1,3,3,0,50.0,18.8,81.2
side_requires_6,A_focused_combo,standings_backed,1,1,1,1,3,3,0,50.0,18.8,81.2
side_requires_6,B_sideboard_led,all,4,4,4,4,19,2,0,90.5,71.1,97.3
side_requires_6,B_sideboard_led,standings_backed,1,1,1,1,4,2,0,66.7,30.0,90.3
side_requires_6,C_value_combo,all,4,4,4,4,19,2,0,90.5,71.1,97.3
side_requires_6,C_value_combo,standings_backed,1,1,1,1,4,2,0,66.7,30.0,90.3
side_requires_6,D_deep_denial,all,3,2,3,3,7,9,0,43.8,23.1,66.8
side_requires_6,D_deep_denial,standings_backed,3,2,3,3,7,9,0,43.8,23.1,66.8
value_requires_8,A_focused_combo,all,1,1,1,1,5,0,0,100.0,56.6,100.0
value_requires_8,A_focused_combo,standings_backed,0,0,0,0,0,0,0,,,
value_requires_8,B_sideboard_led,all,6,6,5,6,26,7,0,78.8,62.2,89.3
value_requires_8,B_sideboard_led,standings_backed,3,3,2,3,11,7,0,61.1,38.6,79.7
value_requires_8,C_value_combo,all,2,2,2,2,10,0,0,100.0,72.2,100.0
value_requires_8,C_value_combo,standings_backed,0,0,0,0,0,0,0,,,
value_requires_8,D_deep_denial,all,3,2,3,3,7,9,0,43.8,23.1,66.8
value_requires_8,D_deep_denial,standings_backed,3,2,3,3,7,9,0,43.8,23.1,66.8
