hostile_share_percent,broad_field_cost_points,required_hostile_gain_points
2,0.5,24.5
2,1,49.0
2,2,98.0
2,3,147.0
2,5,245.0
4,0.5,12.0
4,1,24.0
4,2,48.0
4,3,72.0
4,5,120.0
5,0.5,9.5
5,1,19.0
5,2,38.0
5,3,57.0
5,5,95.0
8,0.5,5.75
8,1,11.5
8,2,23.0
8,3,34.5
8,5,57.5
8.4,0.5,5.4524
8.4,1,10.9048
8.4,2,21.8095
8.4,3,32.7143
8.4,5,54.5238
10,0.5,4.5
10,1,9.0
10,2,18.0
10,3,27.0
10,5,45.0
15,0.5,2.8333
15,1,5.6667
15,2,11.3333
15,3,17.0
15,5,28.3333
20,0.5,2.0
20,1,4.0
20,2,8.0
20,3,12.0
20,5,20.0
25,0.5,1.5
25,1,3.0
25,2,6.0
25,3,9.0
25,5,15.0
30,0.5,1.1667
30,1,2.3333
30,2,4.6667
30,3,7.0
30,5,11.6667
35.4,0.5,0.9124
35.4,1,1.8249
35.4,2,3.6497
35.4,3,5.4746
35.4,5,9.1243
40,0.5,0.75
40,1,1.5
40,2,3.0
40,3,4.5
40,5,7.5
50,0.5,0.5
50,1,1.0
50,2,2.0
50,3,3.0
50,5,5.0
